Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,48,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,89,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,37,3
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,26,4
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,77,5
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,6
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,29,7
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,94,8
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,4,9
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,1,10
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,36,11
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,55,12
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,52,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,80,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,41,3
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,24,4
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,91,5
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,20,6
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,24,7
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,117,8
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,9
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,1,10
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,41,11
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,50,12
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,99,1
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,136,2
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,61,3
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,45,4
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,142,5
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,47,6
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,45,7
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,240,8
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,17,9
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,3,10
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,98,11
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,149,12
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,128,1
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,174,2
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,59,3
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,35,4
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,176,5
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,35,6
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,37,7
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,213,8
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,20,9
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,7,10
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,109,11
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,111,12
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,111,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,136,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,65,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,44,4
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,157,5
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,30,6
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,49,7
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,173,8
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,34,9
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,2,10
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,69,11
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,90,12
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,59,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,110,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,33,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,29,4
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,106,5
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,18,6
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,24,7
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,119,8
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,11,9
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,1,10
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,46,11
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,57,12
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,70,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,125,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,22,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,19,4
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,118,5
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,10,6
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,23,7
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,150,8
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,14,9
