Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_REGIO,SEXE
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,3,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,3,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,7,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,7,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,26,8,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,26,8,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,11,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,11,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,100,12,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,175,12,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,13,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,13,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,14,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,14,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,15,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,15,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,16,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,16,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,361,17,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,427,17,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,29,18,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,31,18,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,1,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,3,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,23,3,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,4,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,5,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,6,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,6,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,7,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,7,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,47,8,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,33,8,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,9,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,9,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,10,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,11,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,11,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,101,12,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,265,12,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,20,13,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,13,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,14,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,14,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,20,15,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,19,15,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,33,16,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,16,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,372,17,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,352,17,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,31,18,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,35,18,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,19,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,1,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,2,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,2,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,63,3,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,105,3,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,36,5,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,39,5,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,11,6,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,15,6,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,20,7,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,15,7,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,67,8,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,79,8,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,9,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,9,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,10,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,49,11,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,37,11,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,230,12,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,466,12,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,76,13,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,63,13,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,14,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,8,14,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,54,15,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,22,15,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,28,16,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,29,16,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,978,17,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,991,17,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,37,18,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,18,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,23,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,1,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,2,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,57,3,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,60,3,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,5,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,14,7,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,8,7,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,64,8,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,83,8,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,8,9,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,9,9,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,13,11,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,13,11,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,113,12,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,369,12,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,56,13,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,51,13,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,9,14,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,14,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,38,15,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,20,15,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,21,16,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,32,16,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,843,17,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,885,17,2
