Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2022,1,Ciutat Vella,1,el Raval,1,12551
2022,1,Ciutat Vella,1,el Raval,2,10715
2022,1,Ciutat Vella,1,el Raval,3,9937
2022,1,Ciutat Vella,1,el Raval,4,12214
2022,1,Ciutat Vella,1,el Raval,5,10296
2022,1,Ciutat Vella,1,el Raval,6,11108
2022,1,Ciutat Vella,1,el Raval,7,10309
2022,1,Ciutat Vella,1,el Raval,8,8291
2022,1,Ciutat Vella,1,el Raval,9,10703
2022,1,Ciutat Vella,1,el Raval,10,9147
2022,1,Ciutat Vella,1,el Raval,11,9036
2022,1,Ciutat Vella,1,el Raval,12,11443
2022,1,Ciutat Vella,1,el Raval,13,11552
2022,1,Ciutat Vella,1,el Raval,14,10901
2022,1,Ciutat Vella,1,el Raval,15,11387
2022,1,Ciutat Vella,1,el Raval,16,10953
2022,1,Ciutat Vella,1,el Raval,17,9432
2022,1,Ciutat Vella,1,el Raval,18,10776
2022,1,Ciutat Vella,1,el Raval,19,10830
2022,1,Ciutat Vella,1,el Raval,20,15139
2022,1,Ciutat Vella,1,el Raval,21,15240
2022,1,Ciutat Vella,2,el Barri Gòtic,22,19287
2022,1,Ciutat Vella,2,el Barri Gòtic,23,15904
2022,1,Ciutat Vella,2,el Barri Gòtic,25,14845
2022,1,Ciutat Vella,2,el Barri Gòtic,26,10510
2022,1,Ciutat Vella,2,el Barri Gòtic,27,13737
2022,1,Ciutat Vella,2,el Barri Gòtic,28,15029
2022,1,Ciutat Vella,2,el Barri Gòtic,29,12481
2022,1,Ciutat Vella,2,el Barri Gòtic,30,12469
2022,1,Ciutat Vella,2,el Barri Gòtic,31,12030
2022,1,Ciutat Vella,3,la Barceloneta,32,15532
2022,1,Ciutat Vella,3,la Barceloneta,33,13394
2022,1,Ciutat Vella,3,la Barceloneta,34,13482
2022,1,Ciutat Vella,3,la Barceloneta,35,13613
2022,1,Ciutat Vella,3,la Barceloneta,36,14159
2022,1,Ciutat Vella,3,la Barceloneta,37,14693
2022,1,Ciutat Vella,3,la Barceloneta,38,12656
2022,1,Ciutat Vella,3,la Barceloneta,39,14080
2022,1,Ciutat Vella,3,la Barceloneta,40,15078
2022,1,Ciutat Vella,3,la Barceloneta,41,13280
2022,1,Ciutat Vella,3,la Barceloneta,42,14731
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,19719
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,16259
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,15297
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,13810
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,15624
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,11647
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,14619
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,13534
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,13665
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,19034
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,13765
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,14758
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,18412
2022,2,L'Eixample,5,el Fort Pienc,1,17933
2022,2,L'Eixample,5,el Fort Pienc,2,19019
2022,2,L'Eixample,5,el Fort Pienc,3,21335
2022,2,L'Eixample,5,el Fort Pienc,4,16531
2022,2,L'Eixample,5,el Fort Pienc,5,20296
2022,2,L'Eixample,5,el Fort Pienc,6,20937
2022,2,L'Eixample,5,el Fort Pienc,7,23045
2022,2,L'Eixample,5,el Fort Pienc,8,20725
2022,2,L'Eixample,5,el Fort Pienc,9,19911
2022,2,L'Eixample,5,el Fort Pienc,10,18516
2022,2,L'Eixample,5,el Fort Pienc,11,19653
2022,2,L'Eixample,5,el Fort Pienc,12,16416
2022,2,L'Eixample,5,el Fort Pienc,13,17082
2022,2,L'Eixample,5,el Fort Pienc,14,15988
2022,2,L'Eixample,5,el Fort Pienc,15,16149
2022,2,L'Eixample,5,el Fort Pienc,16,21013
2022,2,L'Eixample,5,el Fort Pienc,17,21296
2022,2,L'Eixample,5,el Fort Pienc,18,20625
2022,2,L'Eixample,5,el Fort Pienc,19,19337
2022,2,L'Eixample,5,el Fort Pienc,20,18059
2022,2,L'Eixample,6,la Sagrada Família,21,18468
2022,2,L'Eixample,6,la Sagrada Família,22,18928
2022,2,L'Eixample,6,la Sagrada Família,23,19440
2022,2,L'Eixample,6,la Sagrada Família,24,17186
2022,2,L'Eixample,6,la Sagrada Família,25,17754
2022,2,L'Eixample,6,la Sagrada Família,26,18005
2022,2,L'Eixample,6,la Sagrada Família,27,18438
2022,2,L'Eixample,6,la Sagrada Família,28,18367
2022,2,L'Eixample,6,la Sagrada Família,29,18702
2022,2,L'Eixample,6,la Sagrada Família,30,15609
2022,2,L'Eixample,6,la Sagrada Família,31,20248
2022,2,L'Eixample,6,la Sagrada Família,32,19674
2022,2,L'Eixample,6,la Sagrada Família,33,18900
2022,2,L'Eixample,6,la Sagrada Família,34,17209
2022,2,L'Eixample,6,la Sagrada Família,35,20008
2022,2,L'Eixample,6,la Sagrada Família,36,20632
2022,2,L'Eixample,6,la Sagrada Família,37,21612
2022,2,L'Eixample,6,la Sagrada Família,38,20868
2022,2,L'Eixample,6,la Sagrada Família,39,18329
2022,2,L'Eixample,6,la Sagrada Família,40,16444
2022,2,L'Eixample,6,la Sagrada Família,41,18547
2022,2,L'Eixample,6,la Sagrada Família,42,20863
2022,2,L'Eixample,6,la Sagrada Família,43,19516
2022,2,L'Eixample,6,la Sagrada Família,44,16881
2022,2,L'Eixample,6,la Sagrada Família,45,20200
2022,2,L'Eixample,6,la Sagrada Família,46,17007
2022,2,L'Eixample,6,la Sagrada Família,47,18239
2022,2,L'Eixample,6,la Sagrada Família,48,17771
2022,2,L'Eixample,6,la Sagrada Família,49,17545
2022,2,L'Eixample,6,la Sagrada Família,50,18491
2022,2,L'Eixample,6,la Sagrada Família,51,16481
2022,2,L'Eixample,6,la Sagrada Família,52,19154
2022,2,L'Eixample,6,la Sagrada Família,53,19573
2022,2,L'Eixample,6,la Sagrada Família,54,19388
2022,2,L'Eixample,7,la Dreta de l'Eixample,55,20445
2022,2,L'Eixample,7,la Dreta de l'Eixample,56,20737
2022,2,L'Eixample,7,la Dreta de l'Eixample,57,25636
2022,2,L'Eixample,7,la Dreta de l'Eixample,58,23306
2022,2,L'Eixample,7,la Dreta de l'Eixample,59,23195
2022,2,L'Eixample,7,la Dreta de l'Eixample,60,21540
2022,2,L'Eixample,7,la Dreta de l'Eixample,61,19849
2022,2,L'Eixample,7,la Dreta de l'Eixample,62,23161
2022,2,L'Eixample,7,la Dreta de l'Eixample,63,27244
2022,2,L'Eixample,7,la Dreta de l'Eixample,64,27497
2022,2,L'Eixample,7,la Dreta de l'Eixample,65,20692
2022,2,L'Eixample,7,la Dreta de l'Eixample,66,21195
2022,2,L'Eixample,7,la Dreta de l'Eixample,67,19030
2022,2,L'Eixample,7,la Dreta de l'Eixample,68,19626
2022,2,L'Eixample,7,la Dreta de l'Eixample,69,22385
2022,2,L'Eixample,7,la Dreta de l'Eixample,70,23770
2022,2,L'Eixample,7,la Dreta de l'Eixample,71,24664
2022,2,L'Eixample,7,la Dreta de l'Eixample,72,26310
2022,2,L'Eixample,7,la Dreta de l'Eixample,73,23724
2022,2,L'Eixample,7,la Dreta de l'Eixample,74,25788
2022,2,L'Eixample,7,la Dreta de l'Eixample,75,23374
2022,2,L'Eixample,7,la Dreta de l'Eixample,76,26807
2022,2,L'Eixample,7,la Dreta de l'Eixample,77,22220
2022,2,L'Eixample,7,la Dreta de l'Eixample,78,24597
2022,2,L'Eixample,7,la Dreta de l'Eixample,79,28148
2022,2,L'Eixample,7,la Dreta de l'Eixample,80,24917
2022,2,L'Eixample,7,la Dreta de l'Eixample,81,26267
2022,2,L'Eixample,7,la Dreta de l'Eixample,82,28514
2022,2,L'Eixample,7,la Dreta de l'Eixample,83,28846
2022,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,84,23283
2022,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,85,23564
2022,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,86,25124
