Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Domicili,Valor
1997,01,01,01,Altres domicilis amb una o més persones menors de 18 anys,1140
1997,01,01,01,Dues persones de 18 a 64 anys,1590
1997,01,01,01,Dues persones de 65 anys i més,1384
1997,01,01,01,Dues persones o més totes majors de 18 anys,2498
1997,01,01,01,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,42
1997,01,01,01,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,257
1997,01,01,01,Dues persones: una de 18-64 anys i l'altra de 65 i més,1167
1997,01,01,01,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1321
1997,01,01,01,Un home de 18 a 64 anys,1397
1997,01,01,01,Un home de 65 anys i més,628
1997,01,01,01,Una dona de 18 a 64 anys,961
1997,01,01,01,Una dona de 65 anys i més,2310
1997,01,01,02,Altres domicilis amb una o més persones menors de 18 anys,381
1997,01,01,02,Dues persones de 18 a 64 anys,685
1997,01,01,02,Dues persones de 65 anys i més,543
1997,01,01,02,Dues persones o més totes majors de 18 anys,1129
1997,01,01,02,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,27
1997,01,01,02,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,83
1997,01,01,02,Dues persones: una de 18-64 anys i l'altra de 65 i més,427
1997,01,01,02,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,486
1997,01,01,02,Un home de 18 a 64 anys,580
1997,01,01,02,Un home de 65 anys i més,223
1997,01,01,02,Una dona de 18 a 64 anys,419
1997,01,01,02,Una dona de 65 anys i més,847
1997,01,01,03,Altres domicilis amb una o més persones menors de 18 anys,427
1997,01,01,03,Dues persones de 18 a 64 anys,703
1997,01,01,03,Dues persones de 65 anys i més,670
1997,01,01,03,Dues persones o més totes majors de 18 anys,1077
1997,01,01,03,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,25
1997,01,01,03,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,100
1997,01,01,03,Dues persones: una de 18-64 anys i l'altra de 65 i més,498
1997,01,01,03,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,746
1997,01,01,03,Un home de 18 a 64 anys,424
1997,01,01,03,Un home de 65 anys i més,227
1997,01,01,03,Una dona de 18 a 64 anys,359
1997,01,01,03,Una dona de 65 anys i més,958
1997,01,01,04,Altres domicilis amb una o més persones menors de 18 anys,621
1997,01,01,04,Dues persones de 18 a 64 anys,996
1997,01,01,04,Dues persones de 65 anys i més,815
1997,01,01,04,Dues persones o més totes majors de 18 anys,1525
1997,01,01,04,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,42
1997,01,01,04,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,160
1997,01,01,04,Dues persones: una de 18-64 anys i l'altra de 65 i més,599
1997,01,01,04,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,752
1997,01,01,04,Un home de 18 a 64 anys,790
1997,01,01,04,Un home de 65 anys i més,326
1997,01,01,04,Una dona de 18 a 64 anys,700
1997,01,01,04,Una dona de 65 anys i més,1370
1997,01,02,05,Altres domicilis amb una o més persones menors de 18 anys,829
1997,01,02,05,Dues persones de 18 a 64 anys,1213
1997,01,02,05,Dues persones de 65 anys i més,1003
1997,01,02,05,Dues persones o més totes majors de 18 anys,2503
1997,01,02,05,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,51
1997,01,02,05,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,223
1997,01,02,05,Dues persones: una de 18-64 anys i l'altra de 65 i més,671
1997,01,02,05,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1705
