Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Edat,Valor
1997,01,01,01,0-9 anys,2280
1997,01,01,01,10-19 anys,2716
1997,01,01,01,20-29 anys,4603
1997,01,01,01,30-39 anys,4717
1997,01,01,01,40-49 anys,3726
1997,01,01,01,50-59 anys,3763
1997,01,01,01,60-69 anys,5092
1997,01,01,01,>70 anys,6786
1997,01,01,02,0-9 anys,749
1997,01,01,02,10-19 anys,933
1997,01,01,02,20-29 anys,1752
1997,01,01,02,30-39 anys,2017
1997,01,01,02,40-49 anys,1579
1997,01,01,02,50-59 anys,1519
1997,01,01,02,60-69 anys,2055
1997,01,01,02,>70 anys,2737
1997,01,01,03,0-9 anys,957
1997,01,01,03,10-19 anys,1246
1997,01,01,03,20-29 anys,2141
1997,01,01,03,30-39 anys,2034
1997,01,01,03,40-49 anys,1468
1997,01,01,03,50-59 anys,1690
1997,01,01,03,60-69 anys,2181
1997,01,01,03,>70 anys,2791
1997,01,01,04,0-9 anys,1182
1997,01,01,04,10-19 anys,1526
1997,01,01,04,20-29 anys,2847
1997,01,01,04,30-39 anys,2923
1997,01,01,04,40-49 anys,2196
1997,01,01,04,50-59 anys,2209
1997,01,01,04,60-69 anys,2772
1997,01,01,04,>70 anys,3931
1997,01,02,05,0-9 anys,1940
1997,01,02,05,10-19 anys,2863
1997,01,02,05,20-29 anys,4001
1997,01,02,05,30-39 anys,4021
1997,01,02,05,40-49 anys,3784
1997,01,02,05,50-59 anys,3329
1997,01,02,05,60-69 anys,3490
1997,01,02,05,>70 anys,4235
1997,01,02,06,0-9 anys,3374
1997,01,02,06,10-19 anys,4509
1997,01,02,06,20-29 anys,6475
1997,01,02,06,30-39 anys,7244
1997,01,02,06,40-49 anys,6433
1997,01,02,06,50-59 anys,5306
1997,01,02,06,60-69 anys,6299
1997,01,02,06,>70 anys,8153
1997,01,02,07,0-9 anys,2513
1997,01,02,07,10-19 anys,3210
1997,01,02,07,20-29 anys,5079
1997,01,02,07,30-39 anys,5455
1997,01,02,07,40-49 anys,5032
1997,01,02,07,50-59 anys,4341
1997,01,02,07,60-69 anys,4984
1997,01,02,07,>70 anys,7908
1997,01,02,08,0-9 anys,2544
1997,01,02,08,10-19 anys,3123
1997,01,02,08,20-29 anys,5262
1997,01,02,08,30-39 anys,5564
1997,01,02,08,40-49 anys,4789
1997,01,02,08,50-59 anys,4442
1997,01,02,08,60-69 anys,5211
1997,01,02,08,>70 anys,7800
1997,01,02,09,0-9 anys,3982
1997,01,02,09,10-19 anys,5488
1997,01,02,09,20-29 anys,7654
1997,01,02,09,30-39 anys,7614
1997,01,02,09,40-49 anys,7828
1997,01,02,09,50-59 anys,6608
1997,01,02,09,60-69 anys,6757
1997,01,02,09,>70 anys,8285
1997,01,02,10,0-9 anys,2080
1997,01,02,10,10-19 anys,3046
1997,01,02,10,20-29 anys,4924
1997,01,02,10,30-39 anys,4835
1997,01,02,10,40-49 anys,4414
1997,01,02,10,50-59 anys,4338
1997,01,02,10,60-69 anys,5160
1997,01,02,10,>70 anys,6744
1997,01,03,11,0-9 anys,2213
1997,01,03,11,10-19 anys,3079
1997,01,03,11,20-29 anys,4685
1997,01,03,11,30-39 anys,4777
1997,01,03,11,40-49 anys,3952
1997,01,03,11,50-59 anys,3823
1997,01,03,11,60-69 anys,4928
1997,01,03,11,>70 anys,5848
1997,01,03,12,0-9 anys,249
1997,01,03,12,10-19 anys,248
1997,01,03,12,20-29 anys,355
1997,01,03,12,30-39 anys,235
1997,01,03,12,40-49 anys,153
1997,01,03,12,50-59 anys,149
1997,01,03,12,60-69 anys,222
1997,01,03,12,>70 anys,180
1997,01,03,13,0-9 anys,2493
1997,01,03,13,10-19 anys,3170
1997,01,03,13,20-29 anys,4395
1997,01,03,13,30-39 anys,4701
1997,01,03,13,40-49 anys,3351
1997,01,03,13,50-59 anys,3031
1997,01,03,13,60-69 anys,3342
1997,01,03,13,>70 anys,1941
1997,01,03,14,0-9 anys,634
1997,01,03,14,10-19 anys,1001
1997,01,03,14,20-29 anys,1341
1997,01,03,14,30-39 anys,1332
1997,01,03,14,40-49 anys,1348
1997,01,03,14,50-59 anys,1058
1997,01,03,14,60-69 anys,1101
1997,01,03,14,>70 anys,1052
1997,01,03,15,0-9 anys,1027
1997,01,03,15,10-19 anys,1558
1997,01,03,15,20-29 anys,1959
1997,01,03,15,30-39 anys,2093
1997,01,03,15,40-49 anys,2108
1997,01,03,15,50-59 anys,1663
1997,01,03,15,60-69 anys,1804
1997,01,03,15,>70 anys,2243
1997,01,03,16,0-9 anys,1415
1997,01,03,16,10-19 anys,2076
1997,01,03,16,20-29 anys,2420
1997,01,03,16,30-39 anys,2803
1997,01,03,16,40-49 anys,2587
1997,01,03,16,50-59 anys,1980
1997,01,03,16,60-69 anys,1928
1997,01,03,16,>70 anys,1745
1997,01,03,17,0-9 anys,1744
1997,01,03,17,10-19 anys,2766
1997,01,03,17,20-29 anys,3358
1997,01,03,17,30-39 anys,3509
1997,01,03,17,40-49 anys,3538
1997,01,03,17,50-59 anys,2735
1997,01,03,17,60-69 anys,2923
1997,01,03,17,>70 anys,2712
1997,01,03,18,0-9 anys,2540
1997,01,03,18,10-19 anys,3628
1997,01,03,18,20-29 anys,5383
1997,01,03,18,30-39 anys,5451
1997,01,03,18,40-49 anys,4916
1997,01,03,18,50-59 anys,4420
1997,01,03,18,60-69 anys,5291
1997,01,03,18,>70 anys,5953
1997,01,04,19,0-9 anys,3765
1997,01,04,19,10-19 anys,5178
1997,01,04,19,20-29 anys,6858
1997,01,04,19,30-39 anys,6265
1997,01,04,19,40-49 anys,6918
1997,01,04,19,50-59 anys,5996
1997,01,04,19,60-69 anys,5050
1997,01,04,19,>70 anys,4824
1997,01,04,20,0-9 anys,1852
1997,01,04,20,10-19 anys,3105
1997,01,04,20,20-29 anys,3853
1997,01,04,20,30-39 anys,3172
1997,01,04,20,40-49 anys,3845
1997,01,04,20,50-59 anys,3288
1997,01,04,20,60-69 anys,2671
1997,01,04,20,>70 anys,2279
1997,01,04,21,0-9 anys,798
1997,01,04,21,10-19 anys,1337
1997,01,04,21,20-29 anys,1994
1997,01,04,21,30-39 anys,1207
1997,01,04,21,40-49 anys,1447
1997,01,04,21,50-59 anys,1477
1997,01,04,21,60-69 anys,1397
1997,01,04,21,>70 anys,1041
1997,01,05,22,0-9 anys,344
1997,01,05,22,10-19 anys,350
1997,01,05,22,20-29 anys,432
1997,01,05,22,30-39 anys,554
1997,01,05,22,40-49 anys,407
1997,01,05,22,50-59 anys,318
1997,01,05,22,60-69 anys,268
1997,01,05,22,>70 anys,228
1997,01,05,23,0-9 anys,1780
1997,01,05,23,10-19 anys,2104
1997,01,05,23,20-29 anys,3105
1997,01,05,23,30-39 anys,2760
1997,01,05,23,40-49 anys,2613
1997,01,05,23,50-59 anys,2422
1997,01,05,23,60-69 anys,2499
1997,01,05,23,>70 anys,2839
1997,01,05,24,0-9 anys,1138
1997,01,05,24,10-19 anys,1459
1997,01,05,24,20-29 anys,2373
1997,01,05,24,30-39 anys,1631
1997,01,05,24,40-49 anys,1703
1997,01,05,24,50-59 anys,1735
1997,01,05,24,60-69 anys,1571
1997,01,05,24,>70 anys,1182
1997,01,05,25,0-9 anys,1710
1997,01,05,25,10-19 anys,2107
1997,01,05,25,20-29 anys,3438
1997,01,05,25,30-39 anys,2772
1997,01,05,25,40-49 anys,2578
1997,01,05,25,50-59 anys,2673
1997,01,05,25,60-69 anys,2742
1997,01,05,25,>70 anys,3247
1997,01,05,26,0-9 anys,3376
1997,01,05,26,10-19 anys,3938
1997,01,05,26,20-29 anys,6980
1997,01,05,26,30-39 anys,5820
1997,01,05,26,40-49 anys,5131
1997,01,05,26,50-59 anys,5296
1997,01,05,26,60-69 anys,5771
1997,01,05,26,>70 anys,6670
1997,01,05,27,0-9 anys,2226
1997,01,05,27,10-19 anys,2623
1997,01,05,27,20-29 anys,4104
1997,01,05,27,30-39 anys,3832
1997,01,05,27,40-49 anys,3659
1997,01,05,27,50-59 anys,3213
1997,01,05,27,60-69 anys,2924
1997,01,05,27,>70 anys,3397
1997,01,06,28,0-9 anys,963
1997,01,06,28,10-19 anys,1427
1997,01,06,28,20-29 anys,2281
1997,01,06,28,30-39 anys,1867
1997,01,06,28,40-49 anys,1966
1997,01,06,28,50-59 anys,1834
1997,01,06,28,60-69 anys,1851
1997,01,06,28,>70 anys,1787
1997,01,06,29,0-9 anys,505
1997,01,06,29,10-19 anys,750
1997,01,06,29,20-29 anys,1051
1997,01,06,29,30-39 anys,970
1997,01,06,29,40-49 anys,922
1997,01,06,29,50-59 anys,899
1997,01,06,29,60-69 anys,800
1997,01,06,29,>70 anys,662
1997,01,06,30,0-9 anys,856
1997,01,06,30,10-19 anys,1481
1997,01,06,30,20-29 anys,2102
1997,01,06,30,30-39 anys,1617
1997,01,06,30,40-49 anys,1904
1997,01,06,30,50-59 anys,1710
1997,01,06,30,60-69 anys,1463
1997,01,06,30,>70 anys,1430
1997,01,06,31,0-9 anys,2929
1997,01,06,31,10-19 anys,3806
1997,01,06,31,20-29 anys,6052
1997,01,06,31,30-39 anys,6851
1997,01,06,31,40-49 anys,5775
1997,01,06,31,50-59 anys,4968
1997,01,06,31,60-69 anys,6436
1997,01,06,31,>70 anys,9380
1997,01,06,32,0-9 anys,2416
1997,01,06,32,10-19 anys,3310
1997,01,06,32,20-29 anys,4834
1997,01,06,32,30-39 anys,4759
1997,01,06,32,40-49 anys,4817
1997,01,06,32,50-59 anys,4100
1997,01,06,32,60-69 anys,4006
1997,01,06,32,>70 anys,4880
1997,01,07,33,0-9 anys,1744
1997,01,07,33,10-19 anys,2353
1997,01,07,33,20-29 anys,3689
1997,01,07,33,30-39 anys,3623
1997,01,07,33,40-49 anys,3390
1997,01,07,33,50-59 anys,2997
1997,01,07,33,60-69 anys,3393
1997,01,07,33,>70 anys,3306
1997,01,07,34,0-9 anys,614
1997,01,07,34,10-19 anys,942
1997,01,07,34,20-29 anys,1369
1997,01,07,34,30-39 anys,1322
1997,01,07,34,40-49 anys,1111
1997,01,07,34,50-59 anys,1078
1997,01,07,34,60-69 anys,1191
1997,01,07,34,>70 anys,1085
1997,01,07,35,0-9 anys,2344
1997,01,07,35,10-19 anys,3374
1997,01,07,35,20-29 anys,5291
1997,01,07,35,30-39 anys,4948
1997,01,07,35,40-49 anys,4514
1997,01,07,35,50-59 anys,4304
1997,01,07,35,60-69 anys,4740
1997,01,07,35,>70 anys,4513
1997,01,07,36,0-9 anys,730
1997,01,07,36,10-19 anys,1254
1997,01,07,36,20-29 anys,1682
1997,01,07,36,30-39 anys,1268
1997,01,07,36,40-49 anys,1501
1997,01,07,36,50-59 anys,1365
1997,01,07,36,60-69 anys,998
1997,01,07,36,>70 anys,838
1997,01,07,37,0-9 anys,2469
1997,01,07,37,10-19 anys,4103
1997,01,07,37,20-29 anys,6449
1997,01,07,37,30-39 anys,4542
1997,01,07,37,40-49 anys,4268
1997,01,07,37,50-59 anys,4791
1997,01,07,37,60-69 anys,3981
1997,01,07,37,>70 anys,2656
1997,01,07,38,0-9 anys,773
1997,01,07,38,10-19 anys,1305
1997,01,07,38,20-29 anys,2092
