Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Educacio,Valor
1997,01,01,01,"Batxillerat elemental, graduat escolar, ESO, FPI",4544
1997,01,01,01,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3933
1997,01,01,01,"Estudis primaris, certificat d'escolaritat, EGB",11006
1997,01,01,01,"Estudis universitaris, CFGS grau superior",2134
1997,01,01,01,No consta,912
1997,01,01,01,Sense estudis,7808
1997,01,01,02,"Batxillerat elemental, graduat escolar, ESO, FPI",1857
1997,01,01,02,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",2251
1997,01,01,02,"Estudis primaris, certificat d'escolaritat, EGB",3768
1997,01,01,02,"Estudis universitaris, CFGS grau superior",1805
1997,01,01,02,No consta,283
1997,01,01,02,Sense estudis,2293
1997,01,01,03,"Batxillerat elemental, graduat escolar, ESO, FPI",2429
1997,01,01,03,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1571
1997,01,01,03,"Estudis primaris, certificat d'escolaritat, EGB",4617
1997,01,01,03,"Estudis universitaris, CFGS grau superior",518
1997,01,01,03,No consta,301
1997,01,01,03,Sense estudis,3661
1997,01,01,04,"Batxillerat elemental, graduat escolar, ESO, FPI",2819
1997,01,01,04,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3063
1997,01,01,04,"Estudis primaris, certificat d'escolaritat, EGB",5685
1997,01,01,04,"Estudis universitaris, CFGS grau superior",2020
1997,01,01,04,No consta,552
1997,01,01,04,Sense estudis,3716
1997,01,02,05,"Batxillerat elemental, graduat escolar, ESO, FPI",4364
1997,01,02,05,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",6096
1997,01,02,05,"Estudis primaris, certificat d'escolaritat, EGB",5576
1997,01,02,05,"Estudis universitaris, CFGS grau superior",5400
1997,01,02,05,No consta,601
1997,01,02,05,Sense estudis,2583
1997,01,02,06,"Batxillerat elemental, graduat escolar, ESO, FPI",7887
1997,01,02,06,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",9702
1997,01,02,06,"Estudis primaris, certificat d'escolaritat, EGB",10735
1997,01,02,06,"Estudis universitaris, CFGS grau superior",7904
1997,01,02,06,No consta,910
1997,01,02,06,Sense estudis,5469
1997,01,02,07,"Batxillerat elemental, graduat escolar, ESO, FPI",5048
1997,01,02,07,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",8914
1997,01,02,07,"Estudis primaris, certificat d'escolaritat, EGB",6406
1997,01,02,07,"Estudis universitaris, CFGS grau superior",10983
1997,01,02,07,No consta,803
1997,01,02,07,Sense estudis,2605
1997,01,02,08,"Batxillerat elemental, graduat escolar, ESO, FPI",5232
1997,01,02,08,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",9067
1997,01,02,08,"Estudis primaris, certificat d'escolaritat, EGB",6911
1997,01,02,08,"Estudis universitaris, CFGS grau superior",9596
1997,01,02,08,No consta,785
1997,01,02,08,Sense estudis,3328
1997,01,02,09,"Batxillerat elemental, graduat escolar, ESO, FPI",8015
1997,01,02,09,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",12137
1997,01,02,09,"Estudis primaris, certificat d'escolaritat, EGB",10294
1997,01,02,09,"Estudis universitaris, CFGS grau superior",11457
1997,01,02,09,No consta,1250
1997,01,02,09,Sense estudis,4939
1997,01,02,10,"Batxillerat elemental, graduat escolar, ESO, FPI",5885
