Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Nacionalitat,Valor
1997,01,01,01,Altres Europa,31236
1997,01,01,01,Amèrica Llatina,439
1997,01,01,01,Amèrica del Nord,5
1997,01,01,01,Europa Occidental,38
1997,01,01,01,No consta,0
1997,01,01,01,Oceania,0
1997,01,01,01,Àfrica,783
1997,01,01,01,Àsia,1227
1997,01,01,02,Altres Europa,12756
1997,01,01,02,Amèrica Llatina,152
1997,01,01,02,Amèrica del Nord,5
1997,01,01,02,Europa Occidental,60
1997,01,01,02,No consta,0
1997,01,01,02,Oceania,0
1997,01,01,02,Àfrica,185
1997,01,01,02,Àsia,183
1997,01,01,03,Altres Europa,14392
1997,01,01,03,Amèrica Llatina,74
1997,01,01,03,Amèrica del Nord,0
1997,01,01,03,Europa Occidental,0
1997,01,01,03,Àfrica,150
1997,01,01,03,Àsia,8
1997,01,01,04,Altres Europa,18495
1997,01,01,04,Amèrica Llatina,329
1997,01,01,04,Amèrica del Nord,0
1997,01,01,04,Europa Occidental,73
1997,01,01,04,Oceania,0
1997,01,01,04,Àfrica,522
1997,01,01,04,Àsia,179
1997,01,02,05,Altres Europa,27610
1997,01,02,05,Amèrica Llatina,211
1997,01,02,05,Amèrica del Nord,0
1997,01,02,05,Europa Occidental,28
1997,01,02,05,No consta,0
1997,01,02,05,Àfrica,11
1997,01,02,05,Àsia,11
1997,01,02,06,Altres Europa,47820
1997,01,02,06,Amèrica Llatina,189
1997,01,02,06,Amèrica del Nord,0
1997,01,02,06,Europa Occidental,18
1997,01,02,06,No consta,0
1997,01,02,06,Oceania,0
1997,01,02,06,Àfrica,7
1997,01,02,06,Àsia,6
1997,01,02,07,Altres Europa,38401
1997,01,02,07,Amèrica Llatina,173
1997,01,02,07,Amèrica del Nord,0
1997,01,02,07,Europa Occidental,79
1997,01,02,07,No consta,0
1997,01,02,07,Oceania,0
1997,01,02,07,Àfrica,6
1997,01,02,07,Àsia,14
1997,01,02,08,Altres Europa,38314
1997,01,02,08,Amèrica Llatina,189
1997,01,02,08,Amèrica del Nord,0
1997,01,02,08,Europa Occidental,97
1997,01,02,08,No consta,0
1997,01,02,08,Àfrica,6
1997,01,02,08,Àsia,143
1997,01,02,09,Altres Europa,54081
1997,01,02,09,Amèrica Llatina,301
1997,01,02,09,Amèrica del Nord,5
1997,01,02,09,Europa Occidental,39
1997,01,02,09,No consta,0
1997,01,02,09,Oceania,0
1997,01,02,09,Àfrica,11
1997,01,02,09,Àsia,91
