Data_Referencia,Codi_Districte,Codi_Barri,Poblacio,Import_Total,Renda_Mitjana
2015,01,01,46767,389026832,8318.404687065666
2015,01,02,15232,172166832,11302.969537815126
2015,01,03,14707,160012195,10880.002379819134
2015,01,04,22145,255313096,11529.153127116731
2015,02,05,31138,482917891,15508.956612499198
2015,02,06,50442,774627715,15356.800186352642
2015,02,07,42910,844964233,19691.545863435098
2015,02,08,41170,747526527,18157.068909400048
2015,02,09,56759,964129029,16986.36390704558
2015,02,10,37618,568620349,15115.645409112658
2015,03,11,39711,433795041,10923.800483493238
2015,03,12,1096,9867288,9003
2015,03,13,29884,344498282,11527.850421630304
2015,03,14,10215,142125998,13913.460401370534
2015,03,15,15523,205759405,13255.131417896026
2015,03,16,18102,241777284,13356.385150812064
2015,03,17,23742,317906661,13390.053955016427
2015,03,18,40102,584906611,14585.472320582514
2015,04,19,45134,869977326,19275.431515044093
2015,04,20,23548,411561901,17477.57350942755
2015,04,21,11618,303273729,26103.781115510414
2015,05,22,4538,79546135,17528.897091229617
2015,05,23,24338,553282572,22733.280138055714
2015,05,24,16279,437426741,26870.61496406413
2015,05,25,25025,579924696,23173.814025974025
2015,05,26,46144,1103713410,23918.893247226075
2015,05,27,28668,559044640,19500.65020231617
2015,06,28,15269,273134571,17888.176763376778
2015,06,29,7248,99073527,13669.084850993377
2015,06,30,12980,220261031,16969.26278890601
2015,06,31,49577,759457760,15318.751840571233
2015,06,32,33315,558646393,16768.614527990394
2015,07,33,25058,371118536,14810.381355255806
2015,07,34,8672,117492797,13548.523639298894
2015,07,35,35328,505680112,14313.861865942028
2015,07,36,9251,154613948,16713.214571397686
2015,07,37,31053,323866427,10429.473062184008
2015,07,38,11225,130650899,11639.278307349667
2015,07,39,6651,84534394,12710.02766501278
2015,07,40,4919,68031613,13830.374669648303
2015,07,41,5394,83924458,15558.8539117538
2015,07,42,431,5278457,12247
2015,07,43,26015,356916505,13719.642706131079
2015,08,44,25091,334033429,13312.878283049698
2015,08,45,23956,288635134,12048.552930372349
2015,08,46,15167,150823773,9944.206039427705
2015,08,47,2243,20260719,9032.86625055729
2015,08,48,14861,199589161,13430.399098311016
2015,08,49,6866,84911479,12366.950043693563
2015,08,50,15221,138222755,9081.056106694698
2015,08,51,12094,119658767,9894.060443194972
2015,08,52,25580,281222307,10993.83530101642
2015,08,53,7264,60597388,8342.15143171806
2015,08,54,2670,20583255,7709.0842696629215
2015,08,55,10134,77896673,7686.665975922637
2015,08,56,1308,10775304,8238
2015,09,57,9971,83210997,8345.301073112025
2015,09,58,2434,19560679,8036.4334428923585
2015,09,59,12405,130361564,10508.79193873438
2015,09,60,55602,803273272,14446.841336642567
2015,09,61,28464,384863244,13521.052698145026
2015,09,62,13918,187841028,13496.265842793504
2015,09,63,21740,298235669,13718.292042318308
2015,10,64,37743,536581681,14216.720477969426
2015,10,65,26542,365606353,13774.634654509833
2015,10,66,14542,210299484,14461.524136982533
2015,10,67,9173,199602300,21759.76234601548
2015,10,68,33057,481677716,14571.126115497475
2015,10,69,13190,218919598,16597.39181197877
2015,10,70,22595,207362348,9177.355521132995
2015,10,71,19850,260942537,13145.71974811083
2015,10,72,25637,329530481,12853.706790966182
2015,10,73,28308,331036026,11694.08033064858
2016,01,01,46782,399560058,8540.893035782994
2016,01,02,15427,177195249,11486.047125170157
2016,01,03,14702,164287540,11174.502788736227
2016,01,04,22017,264504121,12013.63133033565
2016,02,05,31299,496587050,15865.907856481037
2016,02,06,50731,794276025,15656.62070528868
2016,02,07,43074,883625522,20514.127362213865
2016,02,08,41433,768245250,18541.8688002317
2016,02,09,56792,984576561,17336.536149457672
2016,02,10,37795,587497641,15544.321762137848
2016,03,11,39636,443629566,11192.591734786558
2016,03,12,1117,10512087,9411
2016,03,13,30027,355035200,11823.86518799747
2016,03,14,10169,143859595,14146.877274068247
2016,03,15,15686,213404345,13604.76507713885
2016,03,16,18222,250405839,13741.951432334541
2016,03,17,23662,317827272,13431.969909559632
2016,03,18,40248,601427453,14943.03948022262
2016,04,19,45187,900707642,19932.893132980724
2016,04,20,23622,428029725,18119.96126492253
2016,04,21,11768,316751542,26916.34449354181
2016,05,22,4558,86093710,18888.483984203598
2016,05,23,24531,566743943,23103.17325017325
2016,05,24,16250,450024246,27693.799753846153
2016,05,25,25413,606253201,23856.02648250895
2016,05,26,46599,1140151815,24467.30219532608
2016,05,27,28971,585924454,20224.516033274653
2016,06,28,15405,277408418,18007.68698474521
2016,06,29,7285,101093634,13876.95730954015
2016,06,30,12876,221105903,17171.94027648338
2016,06,31,49804,784116099,15744.038611356518
2016,06,32,33689,580331039,17226.128380183443
2016,07,33,25174,378987762,15054.729562246763
2016,07,34,8803,121039567,13749.808815176644
2016,07,35,35735,523159758,14639.982034420036
2016,07,36,9246,161586888,17476.410123296562
2016,07,37,30919,331571471,10723.874349105728
2016,07,38,11127,132758933,11931.242293520267
2016,07,39,6608,83129819,12580.178420096852
2016,07,40,4941,68528801,13869.419348310059
2016,07,41,5608,91230899,16267.99197574893
2016,07,42,480,6552480,13651
2016,07,43,26134,367627523,14067.020854059845
