Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Index_Gini
2022,1,Ciutat Vella,1,el Raval,1,35.6
2022,1,Ciutat Vella,1,el Raval,2,34.8
2022,1,Ciutat Vella,1,el Raval,3,36.1
2022,1,Ciutat Vella,1,el Raval,4,35.6
2022,1,Ciutat Vella,1,el Raval,5,35.7
2022,1,Ciutat Vella,1,el Raval,6,38.6
2022,1,Ciutat Vella,1,el Raval,7,36.1
2022,1,Ciutat Vella,1,el Raval,8,32.6
2022,1,Ciutat Vella,1,el Raval,9,36.6
2022,1,Ciutat Vella,1,el Raval,10,33.2
2022,1,Ciutat Vella,1,el Raval,11,33.4
2022,1,Ciutat Vella,1,el Raval,12,33.4
2022,1,Ciutat Vella,1,el Raval,13,34.1
2022,1,Ciutat Vella,1,el Raval,14,30.5
2022,1,Ciutat Vella,1,el Raval,15,32.7
2022,1,Ciutat Vella,1,el Raval,16,29.7
2022,1,Ciutat Vella,1,el Raval,17,29
2022,1,Ciutat Vella,1,el Raval,18,30.5
2022,1,Ciutat Vella,1,el Raval,19,34.7
2022,1,Ciutat Vella,1,el Raval,20,37.9
2022,1,Ciutat Vella,1,el Raval,21,38.5
2022,1,Ciutat Vella,2,el Barri Gòtic,22,42
2022,1,Ciutat Vella,2,el Barri Gòtic,23,35.2
2022,1,Ciutat Vella,2,el Barri Gòtic,25,39
2022,1,Ciutat Vella,2,el Barri Gòtic,26,38.3
2022,1,Ciutat Vella,2,el Barri Gòtic,27,38.8
2022,1,Ciutat Vella,2,el Barri Gòtic,28,37.9
2022,1,Ciutat Vella,2,el Barri Gòtic,29,41.5
2022,1,Ciutat Vella,2,el Barri Gòtic,30,37.8
2022,1,Ciutat Vella,2,el Barri Gòtic,31,42
2022,1,Ciutat Vella,3,la Barceloneta,32,35.7
2022,1,Ciutat Vella,3,la Barceloneta,33,33.1
2022,1,Ciutat Vella,3,la Barceloneta,34,34.2
2022,1,Ciutat Vella,3,la Barceloneta,35,33
2022,1,Ciutat Vella,3,la Barceloneta,36,31.1
2022,1,Ciutat Vella,3,la Barceloneta,37,30.2
2022,1,Ciutat Vella,3,la Barceloneta,38,35
2022,1,Ciutat Vella,3,la Barceloneta,39,30.2
2022,1,Ciutat Vella,3,la Barceloneta,40,37.9
2022,1,Ciutat Vella,3,la Barceloneta,41,34.2
2022,1,Ciutat Vella,3,la Barceloneta,42,31.4
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,36.6
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,38
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,36.6
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,35.3
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,38.7
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,36.2
