Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,52,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,39,3
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,26,4
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,85,5
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,6
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,25,7
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,94,8
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,9
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,1,10
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,43,11
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,43,12
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,51,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,83,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,50,3
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,29,4
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,87,5
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,6
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,7
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,99,8
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,9
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,2,10
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,37,11
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,70,12
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,90,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,126,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,75,3
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,4
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,130,5
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,44,6
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,50,7
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,219,8
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,15,9
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,10
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,109,11
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,149,12
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,134,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,177,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,54,3
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,28,4
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,167,5
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,36,6
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,50,7
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,175,8
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,22,9
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,6,10
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,113,11
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,126,12
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,96,1
